title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	ead_id	aleph_id	aspace_id	finding_aid_url	oclc_num	identifier	local_id	display_format	rights	rights_note
Elias Cornelius papers	Cornelius, Elias, 1758-1823	1787-1830	1787/1830	eng	14 items	Six handwritten pages from a daybook, ten letters from Cornelius' children to their parents and to each other, and three medical prescriptions. The daybook may be an account record of Cornelius' patients. The letters are personal and chiefly concern religious matters and health. Most were written by Cornelius' son, the Rev. Elias Cornelius, a Presbyterian missionary, and describe his studies, preaching, the progress of his ministerial work, and frequent concern for the spiritual welfare of others.	Purchase, 1980	Physicians -- New York (State)| Presbyterian Church -- Education| Presbyterian Church -- Clergy -- Correspondence| Presbyterian Church -- Missions| Cornelius, Elias, 1794-1832			Text	corneliuseliaspapers-001751746	001751746	seca-2fed35a7-cdfe-43cc-874e-f5857dd9052f	https://library.duke.edu/rubenstein/findingaids/corneliuseliaspapers-001751746/	32452404	RL.30610	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
John H. Cornelius account book	Cornelius, John H.	1859-1868	1859/1868	eng	1 volume.	Collection consists of an account book with a variety of records. John H. Cornelius had a partnership with W.J. Cornelius in the operation of a still. There are numerous entries in the book for whiskey sales, blacksmithing, and for men and women (many identified as freemen) who worked for him in unknown capacities.	Gift 1981	Blacksmithing -- Accounting| Blacksmiths -- North Carolina -- Yadkin County| Whiskey industry -- North Carolina| Business records -- North Carolina -- History -- 19th century| Freedmen -- North Carolina			Text	corneliusjohnh-002356533	002356533	seca-ea359c3f-d593-4111-a3e3-73006ebb5b39	https://library.duke.edu/rubenstein/findingaids/corneliusjohnh-002356533/	37869729	RL.30620	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Thomas Corwin letter	Corwin, Thomas, 1794-1865	1861	1861/1861	eng	1 item	Collection consists of a letter from Corwin, then minister, concerning mail service between Mexico and the U.S.		Postal service -- United States| Corwin, Thomas, 1794-1865			Text	corwinthomas-002357384	002357384	seca-5bd89bcd-dba7-4517-9b96-2db643e8a155	https://library.duke.edu/rubenstein/findingaids/corwinthomas-002357384/	37883941	RL.30622	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Dabney Cosby papers	Cosby, Dabney, Jr.,	1844-1856	1844/1856	eng	10 items	Collection contains miscellaneous correspondence including business letters; a letter from Cosby's father commenting on the N.C. legislature in 1851; and three letters from Cosby while a student at Washington College and the University of Virginia.		Business records -- North Carolina -- History -- 19th century| North Carolina. General Assembly -- History -- 19th century| University of Virginia -- Students| Washington College (Lexington, Va.) -- Students			Text	cosbydabneypapers-002357391	002357391	seca-b3dc9231-ba8f-4710-b68c-bca50353d77e	https://library.duke.edu/rubenstein/findingaids/cosbydabneypapers-002357391/	37883950	RL.30615	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Ambrose Costner letter to William Lander	Costner, Ambrose	1859, Feb. 2.	1859/1859	eng	1 item	Autograph letter signed, which primarily concerns the passage of a railroad bill then pending before the North Carolina House, from Costner to William Lander, a lawyer of Lincolnton, N.C.	Purchase 1985	Railroad law -- North Carolina| Lander, William			Text	costnerambrose-000741865	000741865	seca-0a5d0ded-16d2-4e75-808d-f04b1327a6ad	https://library.duke.edu/rubenstein/findingaids/costnerambrose-000741865/	15477046	RL.30621	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Edmund Cottle letters	Cottle, Edmund	1862-1863	1862/1863	eng	18 items	Letters of a soldier in the 4th Massachusetts Regiment primarily to his girlfriend, Hattie, describing life in camp, moving with the Nathaniel Banks Expedition by sea to Louisiana, 1863, and service in Louisiana.		Banks, Nathaniel Prentiss, 1816-1894| United States. Army. Massachusetts Infantry Regiment, 4th (1862-1863)| United States. Army -- Military life| Louisiana -- History -- Civil War, 1861-1865	Louisiana		Text	cottleedmundletters-000890384	000890384	seca-1d13693b-2ac8-4f38-bcc3-746217fb0e86	https://library.duke.edu/rubenstein/findingaids/cottleedmundletters-000890384/	20649195	RL.30623	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Mary A. Horton Council letters	Council, Mary A. Horton	1862-1864	1862/1864	eng	13 items	Letters from soldiers in the 37th North Carolina Regiment and the 58th North Carolina Regiment concerning camp life, military actions, and army discipline in eastern North Carolina and Tennessee.		Soldiers -- Confederate States of America -- Correspondence| Confederate States of America. Army -- Military life| Confederate States of America. Army. North Carolina Infantry Regiment, 37rd.| Confederate States of America. Army. North Carolina Infantry Regiment, 58th.| North Carolina -- History -- Civil War, 1861-1865| Tennessee -- History -- Civil War, 1861-1865	North Carolina| Tennessee		Text	councilmaryahortonletters-000890392	000890392	seca-d46a31e5-f7e7-4cf8-9b69-77fa7dcc72cc	https://library.duke.edu/rubenstein/findingaids/councilmaryahortonletters-000890392/	20649214	RL.30624	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
F. R. Cousins papers	Cousins, F. R.	1836-1850	1836/1850	eng	5 items	Collection contains business letters and bills.		Business records -- Virginia -- History -- 19th century| Pittsylvania County (Va.) -- History	Pittsylvania County (Va.)		Text	cousinsfrpapers-002357395	002357395	seca-02687f63-fc05-4917-91f6-9ab983515b98	https://library.duke.edu/rubenstein/findingaids/cousinsfrpapers-002357395/	37883825	RL.30614	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
John Covington papers	Covington, John	1805-1875	1805/1875	eng	19 items	This collection pertains chiefly to Virginia and Virginians, and consists chiefly of legal papers, business letters and prices current. Subjects mentioned include commodity prices in Louisiana and Washington, D.C. An Indenture of Apr. 9, 1828 mentions Gov. Thomas Mann Randolph of Va., and Jeremiah Strother. A letter of Apr. 16, 1836 mentions Angus R. Rucker Blakey, an attorney of Madison (later Albemarle) Co., Va.; and slave sales and purchases in Va. A letter of Jan. 27, 1842 mentions a Maj. Broadus, who is perhaps Edmund Broadus, father of John Albert Broadus. A undated letter is by James French Strother, Sr., U. S. Representative from Va. This collection was originally a part of the Don Preston Peters Collection.	Resident of Virginia	Slavery -- Virginia -- 19th century| Covington, John| Virginia -- History -- 19th century	Virginia		Text	covingtonjohnpapers-002557631	002557631	seca-99f7dc62-76f6-4fbb-acd4-a2d101be4ba6	https://library.duke.edu/rubenstein/findingaids/covingtonjohnpapers-002557631/	40978848	RL.30612	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
William Cowan papers	Cowan, William	1795-1804	1795/1804	eng	7 items	Collection consists of Cowan's arithmetic book, 1795, and several miscellaneous financial papers.		Arithmetic -- Study and teaching -- 18th century| Cowan, William			Text	cowanwilliampapers-002557635	002557635	seca-3865224b-5fba-4b0e-b923-51b492a16f6d	https://library.duke.edu/rubenstein/findingaids/cowanwilliampapers-002557635/	40978843	RL.30611	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
