title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	ead_id	aleph_id	aspace_id	finding_aid_url	oclc_num	identifier	local_id	display_format	rights	rights_note
Joel Crawford letter	Crawford, Joel	1839	1839/1839	eng	1 item	Collection contains a letter from Crawford giving information on the construction of the Western and Atlantic Railroad.		Railroads -- Georgia| Western & Atlantic Railroad -- History			Text	crawfordjoel-002367336	002367336	seca-a91c5702-661b-4386-a680-9139d0a6c250	https://library.duke.edu/rubenstein/findingaids/crawfordjoel-002367336/	38000718	RL.30635	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
Edward Crenshaw papers	Crenshaw, Edward	1861-1864	1861/1864	eng	17 items	Letters concerning Crenshaw's service in the Confederate Army, including information on the organization of various military units in Alabama and Virginia including the Greenville, Alabama Guards, the Rangers (Alabama), the Butler's True Blues (most likely Alabama), Holtzclaw's Brigade, and the Alabama Infantry Volunteers.		Soldiers -- Confederate States of America -- Correspondence| Confederate States of America. Army -- Organization| Alabama -- History -- Civil War, 1861-1865| Virginia -- History -- Civil War, 1861-1865	Alabama| Virginia		Text	crenshawedwardpapers-000890426	000890426	seca-6336b328-414b-4e63-8af3-6f98be3d3143	https://library.duke.edu/rubenstein/findingaids/crenshawedwardpapers-000890426/	20649314	RL.30645	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Leroy Crenshaw letter	Crenshaw, Leroy	1849	1849/1849	eng	1 item	Collection contains a letter concerning transfer of land.		Land titles -- Registration and transfer -- Virginia -- Richmond| Richmond (Va.)	Richmond (Va.)		Text	crenshawleroy-002367338	002367338	seca-4996267e-254c-40b0-a4e7-505e8ff5f4f1	https://library.duke.edu/rubenstein/findingaids/crenshawleroy-002367338/	38000721	RL.30639	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
James Crewes papers	Crewes, James	1857-1891	1857/1891	eng	70 items	Collection contains miscellaneous business papers, legal papers, and personal correspondence.		Business records -- North Carolina -- Granville County| Legal documents -- North Carolina| Oxford (N.C.) -- History	Oxford (N.C.)		Text	crewesjamespapers-002367339	002367339	seca-a0522085-c675-4b02-b325-756e247286b5	https://library.duke.edu/rubenstein/findingaids/crewesjamespapers-002367339/	38000752	RL.30643	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Jacob and Eliza Criscoe letters	Criscoe, Jacob	1850-1852	1850/1852	eng	2 items	Collection contains personal letters to Jacob and Eliza Criscoe from Milton Burrow.		Burrow, Milton, correspondent.| Asheboro (N.C.)| Randolph County (N.C.)	Asheboro (N.C.)| Randolph County (N.C.)		Text	criscoejacobletters-002367340	002367340	seca-714e316a-1ae7-4fbe-b7d7-e3098b148ad3	https://library.duke.edu/rubenstein/findingaids/criscoejacobletters-002367340/	38000723	RL.30640	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Thomas Theodore Crittenden letter	Crittenden, Thomas Theodore	1819	1819/1819	eng	1 item	Collection consists of a letter concerning the purchase of independent bank notes in Baltimore and Washington for trade in recently established state of Kentucky.		Money -- Kentucky| Bank notes -- United States| Lexington (Ky.) -- History	Lexington (Ky.)		Text	crittendenthomastheodore-002367341	002367341	seca-065b1de2-d61d-4701-8a68-c7982ee47ddd	https://library.duke.edu/rubenstein/findingaids/crittendenthomastheodore-002367341/	38000945	RL.30632	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
John Cronmiller papers	Cronmiller, John	1846-1853	1846/1853	eng	5 items	Collection contains personal letters.		Savage (Md.)	Savage (Md.)		Text	cronmillerjohnpapers-002372604	002372604	seca-d911df0b-3fd7-45bb-95f1-5543c4329b4c	https://library.duke.edu/rubenstein/findingaids/cronmillerjohnpapers-002372604/	38065787	RL.30637	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
R. N. Crooks papers	Crooks, R. N.	1876-1880	1876/1880	eng	10 items	Collection contains personal letters of Crooks and his daughter, Katie Crooks, devoted largely to local news and the church.		Methodists -- North Carolina -- 19th century| Clergy -- Correspondence| Crooks, Katie, correspondent.| Hertford County (N.C.) -- Social life and customs| Hertford County (N.C.) -- Religious life and customs| Hertford County (N.C.) -- History	Hertford County (N.C.)		Text	crooksrnpapers-002372606	002372606	seca-28659dc2-4531-440e-b246-c1f971dffc8d	https://library.duke.edu/rubenstein/findingaids/crooksrnpapers-002372606/	38065815	RL.30650	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
William Henry Crook papers	Crook, William Henry	1879	1879/1879	eng	1 item	Collection consists of a letter from Ainsworth Rand Spofford, Librarian of Congress, to Crook concerning books which President Rutherford B. Hayes wished to borrow.		Hayes, Rutherford B., 1822-1893| Spofford, Ainsworth Rand, 1825-1908, correspondent.| Library of Congress			Text	crookwilliamhenrypapers-002372605	002372605	seca-a103cb7a-7554-4b93-a208-1d5c12eec93a	https://library.duke.edu/rubenstein/findingaids/crookwilliamhenrypapers-002372605/	38065816	RL.30651	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Thomas Cross papers	Cross, Thomas	1846-1861	1846/1861	eng	4 items	Includes a list of enslaved people belonging to the estate of George Cross; receipts for slave purchases; and an 1861 letter by John Wilson commenting on the raising of troops at the beginning of the Civil War and divided sentiment in Tennessee over secession.		Executors and administrators -- Tennessee -- Montgomery County| Secession| Slavery -- Tennessee -- Montgomery County| Cross, George, -- Estate.| Wilson, John L., correspondent.| Confederate States of America. Army -- Recruiting, enlistment, etc| Tennessee -- Politics and government -- 1861-1865	Tennessee		Text	crossthomaspapers-000890430	000890430	seca-65fc7bc5-3c9f-474b-b8c4-939602996fce	https://library.duke.edu/rubenstein/findingaids/crossthomaspapers-000890430/	20649325	RL.30638	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
